id,text,aspect,sentiment
1979,"When you want a piece of beef, head on over.",beef,positive
16,"night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.",manager,positive
16,"night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.",reservation,neutral
16,"night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.",bar,neutral
16,"night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.",wait,positive
1335,"While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse.",food,positive
1335,"While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse.",service,negative
1335,"While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse.",waiter,negative
1335,"While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse.",service,negative
3217,"Quite frankly, this is some of the worst sushi I have ever tried.",sushi,negative
2071,Try the sea bass.,sea bass,positive
2002,I've dined at Alain Ducasse's restaurant in Monte Carlo for half the price for the same excellent dining experience.,dining,positive
2002,I've dined at Alain Ducasse's restaurant in Monte Carlo for half the price for the same excellent dining experience.,price,positive
1269,Instead of wasting your time here: SUPPORT RESTAURANTS THAT CARE ABOUT FOOD.,FOOD,neutral
1771,"believe us, we've been eating sushi for over 15 yrs.",sushi,neutral
1662,$20 for all you can eat sushi cannot be beaten.,sushi,neutral
711,(and I have eaten my share) Which impresses me for having such a large amount of people to serve.,serve,positive
3325,There is no excuse for such lousy service!,service,negative
2141,"Try the crunchy tuna, it is to die for.",crunchy tuna,positive
3067,All the food was hot tasty.,food,positive
2965,It's easy to get a table for a large group and you don't get hustled out.,table,positive
350,Unique apppetizers.,apppetizers,positive
314,"All I can say is $2 pints during happy hour and the some of the cheapest oysters you'll find in the city, though the quality is some of the best.",oysters,positive
314,"All I can say is $2 pints during happy hour and the some of the cheapest oysters you'll find in the city, though the quality is some of the best.",quality,positive
3205,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service.",fish,positive
